# Dynamic Settlements vanilla recipe ingredient replacements
# resultItemID	techStringID	ingredientID:amount,ingredientID:amount
bamboobed	tungstencarpenter	bambooplank:1,woodenshaft:1,clothpanel:1,string:1
bamboobench	tungstencarpenter	bambooplank:1,woodenshaft:1,nail:1
bamboobookshelf	tungstencarpenter	bambooplank:1,nail:1
bamboocabinet	tungstencarpenter	bambooplank:1,nail:1,hinge:1
bamboocandelabra	tungstencarpenter	bamboo:1,torch:1
bamboochair	tungstencarpenter	bambooplank:1,woodenshaft:1,nail:1
bamboochest	tungstencarpenter	bambooplank:1,nail:1,hinge:1
bambooclock	tungstencarpenter	bambooplank:1,clockworkmechanism:1,glass:1
bamboodesk	tungstencarpenter	bamboo:1
bamboodinnertable	tungstencarpenter	bambooplank:1,woodenshaft:1,nail:1
bamboodisplay	tungstencarpenter	bamboo:1
bamboodoor	tungstenworkstation	bamboo:4
bamboodoublebed	tungstencarpenter	bambooplank:1,woodenshaft:1,clothpanel:1,string:1
bamboodresser	tungstencarpenter	bambooplank:1,nail:1,hinge:1
bamboofloor	tungstenworkstation	bamboo:1
bamboomodulartable	tungstencarpenter	bambooplank:1,woodenshaft:1,nail:1
bambootoilet	tungstencarpenter	bamboo:1
bamboowall	tungstenworkstation	bamboo:2
banditfence	demonic	anylog:2
banditfencegate	demonic	anylog:4
bannerofdamage	demonic	wool:30,battlepotion:10
bannerofdefense	demonic	wool:30,resistancepotion:10
bannerofspeed	demonic	wool:30,speedpotion:10
bannerofsummonspeed	demonic	wool:30,voidshard:20
barrel	carpenter	dsanyplank:1,ironshaft:2,nail:1
barshelf	tungstencarpenter	dsanyplank:1,nail:1
basaltcolumn	tungstencarpenter	basalt:1
basaltdoor	tungstenworkstation	basalt:15
basaltfloor	tungstenworkstation	basalt:1
basaltpathtile	tungstenworkstation	basalt:2
basaltpressureplate	tungstenworkstation	basalt:10,wire:5
basalttorch	tungstencarpenter	basalt:1,torch:1
basaltwall	tungstenworkstation	basalt:5
batcage	demonicanvil	demonicbar:1,batwing:1
birchbathtub	carpenter	birchlog:1
birchbed	carpenter	birchplank:1,woodenshaft:1,clothpanel:1,string:1
birchbench	carpenter	birchplank:1,woodenshaft:1,nail:1
birchbookshelf	carpenter	birchplank:1,nail:1
birchcabinet	carpenter	birchplank:1,nail:1,hinge:1
birchcandelabra	carpenter	birchlog:1,torch:1
birchchair	carpenter	birchplank:1,woodenshaft:1,nail:1
birchchest	carpenter	birchplank:1,nail:1,hinge:1
birchclock	carpenter	birchplank:1,clockworkmechanism:1,glass:1
birchdesk	carpenter	birchlog:1
birchdinnertable	carpenter	birchplank:1,woodenshaft:1,nail:1
birchdisplay	carpenter	birchlog:1
birchdoublebed	carpenter	birchplank:1,woodenshaft:1,clothpanel:1,string:1
birchdresser	carpenter	birchplank:1,nail:1,hinge:1
birchmodulartable	carpenter	birchplank:1,woodenshaft:1,nail:1
birchtoilet	carpenter	birchlog:1
bloodbolt	demonicanvil	book:1,batwing:1
bloodplateboots	demonicanvil	bloodplateplate:1,leather:1,batwing:1
bloodplatechestplate	demonicanvil	bloodplateplate:1,leather:1,batwing:1
bloodplatecowl	demonicanvil	demonicbar:1,batwing:1
bloodvolley	demonicanvil	bloodbolt:1,voidshard:1,batwing:1
bluecarpet	carpenter	wool:1,blueberry:1
bonearrow	tungstenanvil	woodenshaft:1,feather:1,bone:1
bonebathtub	tungstencarpenter	bone:1
bonebed	tungstencarpenter	bonepanel:1,woodenshaft:1,clothpanel:1,string:1,bone:1
bonebench	tungstencarpenter	bonepanel:1,woodenshaft:1,nail:1,bone:1
bonebookshelf	tungstencarpenter	bonepanel:1,nail:1,bone:1
bonecabinet	tungstencarpenter	bonepanel:1,nail:1,hinge:1,bone:1
bonecandelabra	tungstencarpenter	bone:1,torch:1
bonechair	tungstencarpenter	bonepanel:1,woodenshaft:1,nail:1,bone:1
bonechest	tungstencarpenter	bonepanel:1,nail:1,hinge:1,bone:1
boneclock	tungstencarpenter	bonepanel:1,clockworkmechanism:1,glass:1,bone:1
bonedesk	tungstencarpenter	bone:1
bonedinnertable	tungstencarpenter	bonepanel:1,woodenshaft:1,nail:1,bone:1
bonedisplay	tungstencarpenter	bone:1
bonedoublebed	tungstencarpenter	bonepanel:1,woodenshaft:1,clothpanel:1,string:1,bone:1
bonedresser	tungstencarpenter	bonepanel:1,nail:1,hinge:1,bone:1
bonehilt	tungstenworkstation	bone:40,tungstenbar:4
bonemodulartable	tungstencarpenter	bonepanel:1,woodenshaft:1,nail:1,bone:1
boneoffering	demonic	demonicbar:4,runestone:2,voidshard:4
bonetoilet	tungstencarpenter	bone:1
bonsaitree1	tungstencarpenter	clay:1,anysapling:1
bonsaitree2	tungstencarpenter	clay:1,anysapling:1
boulderstaff	demonicanvil	dsanyshaft:1,magicfocus:1,swampsludge:1,voidshard:1
bouncingarrow	demonicanvil	stonearrow:25,halffish:1
bouncingbullet	demonicanvil	metalcasing:1,groundfiremone:1,simplebullet:1,halffish:1
bowofdualism	fallenanvil	primordialessence:1
brazier	tungstencarpenter	stone:1,torch:1
brickdoor	workstation	clay:4
brickwall	workstation	clay:2
brownbearcarpet	carpenter	leather:1
bucket	workstation	ironbar:3
buffergate	demonic	ironbar:2,wire:10
calmingminersbouquet	demonic	calmingrose:1,miningcharm:1
campfire	workstation	anylog:10,anystone:20
candle	carpenter	wax:1,string:1,honey:1
cannonball	tungstenanvil	ironbar:1,handcannon:0
carapacedagger	tungstenanvil	bonehilt:1,wormcarapace:1
carapaceshield	tungstenanvil	dsanyplank:1,leather:1,wormcarapace:1
carpentersbench	carpenter	dsanyplank:1,woodenshaft:1,nail:1
carpentersbench	workstation	anylog:10,ironbar:5
cartographertable	workstation	anylog:10,mapfragment:2
causticexecutioner	fallenanvil	spideressence:1,spideritebar:1,spidervenom:1
chainshirt	demonic	ironbar:10,leather:10
cheesepress	demonic	ironbar:5,demonicbar:5
chefsspecial	tungstenanvil	rollingpin:1,butcherscleaver:1
chieftainmap	demonic	mapfragment:4,runestone:4
chromaticspellbook	tungstenanvil	bloodvolley:1,shadowbolt:1,swamptome:1
claygauntlet	workstation	clay:25
clockworkheart	fallen	primordialessence:20
clothboots	ironanvil	leather:1,string:1
clothboots	workstation	wool:8
clothhat	ironanvil	clothpanel:1,string:1
clothhat	workstation	wool:12
clothrobe	ironanvil	clothpanel:1,string:1
clothrobe	workstation	wool:16
compostbin	workstation	anylog:20,ironbar:5
cookingpot	workstation	clay:10,ironbar:4
cookingstation	tungstenworkstation	tungstenbar:8,obsidian:12
coolingbox	workstation	anylog:10,anystone:10,frostshard:5
copperaxe	ironanvil	copperplate:1,woodenshaft:1
copperboots	ironanvil	copperplate:1,leather:1
copperbow	ironanvil	coppershaft:1,string:1
copperchestplate	ironanvil	copperplate:1,leather:1
copperdoublestreetlamp	carpenter	coppershaft:1,glass:1,string:1
copperhelmet	ironanvil	copperplate:1,leather:1
copperpickaxe	ironanvil	copperplate:1,woodenshaft:1
coppershovel	ironanvil	copperplate:1,woodenshaft:1
copperspear	ironanvil	coppershaft:1,woodenshaft:1
copperstreetlamp	carpenter	coppershaft:1,glass:1,string:1
coppersword	ironanvil	copperblade:1,dsanyshaft:1
countergate	demonic	ironbar:2,wire:10
craftingguide	workstation	anylog:2,leather:5
cronemap	tungstenworkstation	mapfragment:4,amber:8
cryoblaster	fallenanvil	cryoessence:1
cryoglaive	fallenanvil	dsanymetalshaft:1,woodenshaft:1,cryoessence:1
cryoquake	fallenanvil	cryoessence:1
cryospear	fallenanvil	dsanymetalshaft:1,woodenshaft:1,cryoessence:1
cryostaff	tungstenanvil	dsanyshaft:1,magicfocus:1,glacialshard:1
cryowitchhat	tungstenanvil	clothpanel:1,string:1,witchhat:1,icecrown:1
cryowitchrobe	tungstenanvil	clothpanel:1,string:1,witchrobe:1,glacialshard:1
cryowitchshoes	tungstenanvil	glacialplate:1,leather:1,witchshoes:1,glacialshard:1
cryptdoor	fallen	cryptstone:15
cryptwall	fallen	cryptstone:5
crystalboots	fallenanvil	crystalplate:1,leather:1,pearlescentdiamond:1,omnicrystal:1
crystalbullet	fallenanvil	metalcasing:1,groundfiremone:1,sapphire:1
crystalchestplate	fallenanvil	crystalplate:1,leather:1,pearlescentdiamond:1,omnicrystal:1
crystallizedskull	fallenanvil	ruby:1,pearlescentdiamond:1,omnicrystal:1,crystalessence:1
crystalshield	fallenanvil	crystalplate:1,leather:1,pearlescentdiamond:1,omnicrystal:1
cutter	demonic	ironbar:10
dawndoor	fallen	dawnwall:5
deadwoodbathtub	fallencarpenter	deadwoodlog:1
deadwoodbed	fallencarpenter	deadwoodplank:1,woodenshaft:1,clothpanel:1,string:1
deadwoodbench	fallencarpenter	deadwoodplank:1,woodenshaft:1,nail:1
deadwoodbookshelf	fallencarpenter	deadwoodplank:1,nail:1
deadwoodcabinet	fallencarpenter	deadwoodplank:1,nail:1,hinge:1
deadwoodcandelabra	fallencarpenter	deadwoodlog:1,torch:1
deadwoodchair	fallencarpenter	deadwoodplank:1,woodenshaft:1,nail:1
deadwoodchest	fallencarpenter	deadwoodplank:1,nail:1,hinge:1
deadwoodclock	fallencarpenter	deadwoodplank:1,clockworkmechanism:1,glass:1
deadwooddesk	fallencarpenter	deadwoodlog:1
deadwooddinnertable	fallencarpenter	deadwoodplank:1,woodenshaft:1,nail:1
deadwooddisplay	fallencarpenter	deadwoodlog:1
deadwooddoublebed	fallencarpenter	deadwoodplank:1,woodenshaft:1,clothpanel:1,string:1
deadwooddresser	fallencarpenter	deadwoodplank:1,nail:1,hinge:1
deadwoodfloor	tungstenworkstation	deadwoodlog:1
deadwoodmodulartable	fallencarpenter	deadwoodplank:1,woodenshaft:1,nail:1
deadwoodtoilet	fallencarpenter	deadwoodlog:1
deathripper	fallenanvil	shadowessence:1
decayingleaf	tungstenworkstation	myceliumbar:4,silk:8,bone:8
decorativepot1	carpenter	clay:1
decorativepot2	carpenter	clay:1
decorativepot3	carpenter	clay:1
decorativepot4	carpenter	clay:1
deepfrostboots	tungstenanvil	glacialplate:1,leather:1,frostboots:1,glacialshard:1
deepfrostchestplate	tungstenanvil	glacialplate:1,leather:1,frostchestplate:1,bonearrow:1
deepfrosthood	tungstenanvil	clothpanel:1,string:1,frosthood:1,glacialshard:1
deepsandstonecolumn	tungstencarpenter	deepsandstone:1
deepsandstonedoor	tungstenworkstation	deepsandstone:15
deepsandstonewall	tungstenworkstation	deepsandstone:5
deepsnowstonebrickfloor	tungstenworkstation	deepsnowstone:1
deepsnowstonecolumn	tungstencarpenter	deepsnowstone:1
deepsnowstonedoor	tungstenworkstation	deepsnowstone:15
deepsnowstonefloor	tungstenworkstation	deepsnowstone:1
deepsnowstonepressureplate	tungstenworkstation	deepsnowstone:10,wire:5
deepsnowstonewall	tungstenworkstation	deepsnowstone:5
deepstonebrickfloor	tungstenworkstation	deepstone:1
deepstonecolumn	tungstencarpenter	deepstone:1
deepstonedoor	tungstenworkstation	deepstone:15
deepstonefloor	tungstenworkstation	deepstone:1
deepstonepressureplate	tungstenworkstation	deepstone:10,wire:5
deepstonetiledfloor	tungstenworkstation	deepstone:1
deepstonewall	tungstenworkstation	deepstone:5
deepswampstonebrickfloor	tungstenworkstation	deepswampstone:1
deepswampstonecolumn	tungstencarpenter	deepswampstone:1
deepswampstonedoor	tungstenworkstation	deepswampstone:15
deepswampstonefloor	tungstenworkstation	deepswampstone:1
deepswampstonepressureplate	tungstenworkstation	deepswampstone:10,wire:5
deepswampstonewall	tungstenworkstation	deepswampstone:5
delaygate	demonic	ironbar:2,wire:10
demonchest	carpenter	dsanyplank:1,nail:1,hinge:1
demonclaw	demonic	demonicbar:5
demonicanvil	demonicanvil	demonicbar:5
demonicaxe	demonicanvil	demonicplate:1,woodenshaft:1
demonicboots	demonicanvil	demonicplate:1,leather:1,voidshard:1
demonicbow	demonicanvil	demonicshaft:1,string:1
demonicchestplate	demonicanvil	demonicplate:1,leather:1,voidshard:1
demonichelmet	demonicanvil	demonicplate:1,leather:1,voidshard:1
demonicpickaxe	demonicanvil	demonicplate:1,woodenshaft:1
demonicshovel	demonicanvil	demonicplate:1,woodenshaft:1
demonicspear	demonicanvil	demonicshaft:1,woodenshaft:1
demonicsword	demonicanvil	demonicblade:1,dsanyshaft:1
demonicworkstationduo	demonic	demonicbar:5
depthscatcher	fallenanvil	shadowessence:1
desertcandlepedestal	carpenter	wax:1,string:1,honey:1
diggingclaw	fallen	primordialessence:20
dragonlance	fallenanvil	primordialessence:1
dragonsouls	tungstenworkstation	ancientfossilbar:4,wormcarapace:4,bone:8
dragonsrebound	fallenanvil	primordialessence:1
dreamcatcher	workstation	anysapling:5,wool:5
druidsgreatbow	fallenanvil	woodenshaft:1,string:1,bioessence:1
dryadaxe	tungstenanvil	dryadplate:1,woodenshaft:1,amber:1
dryadbanner	tungstencarpenter	clothpanel:1,woodenshaft:1,string:1,dryadsapling:1
dryadbarrage	tungstenanvil	amber:1,dryadlog:1
dryadbathtub	tungstencarpenter	dryadlog:1
dryadbed	tungstencarpenter	dryadplank:1,woodenshaft:1,clothpanel:1,string:1
dryadbench	tungstencarpenter	dryadplank:1,woodenshaft:1,nail:1
dryadbookshelf	tungstencarpenter	dryadplank:1,nail:1
dryadboots	tungstenanvil	dryadplate:1,leather:1,amber:1
dryadbow	tungstenanvil	dryadshaft:1,string:1,amber:1
dryadbranch	tungstenanvil	amber:1,dryadlog:1
dryadcabinet	tungstencarpenter	dryadplank:1,nail:1,hinge:1
dryadcandelabra	tungstencarpenter	dryadlog:1,torch:1
dryadchair	tungstencarpenter	dryadplank:1,woodenshaft:1,nail:1
dryadchest	tungstencarpenter	dryadplank:1,nail:1,hinge:1
dryadchestplate	tungstenanvil	dryadarmorpanel:1,leather:1,string:1,amber:1
dryadclock	tungstencarpenter	dryadplank:1,clockworkmechanism:1,glass:1
dryadcrown	tungstenanvil	dryadplate:1,leather:1,amber:1
dryaddesk	tungstencarpenter	dryadlog:1
dryaddinnertable	tungstencarpenter	dryadplank:1,woodenshaft:1,nail:1
dryaddisplay	tungstencarpenter	dryadlog:1
dryaddoor	tungstenworkstation	dryadlog:15
dryaddoublebed	tungstencarpenter	dryadplank:1,woodenshaft:1,clothpanel:1,string:1
dryaddresser	tungstencarpenter	dryadplank:1,nail:1,hinge:1
dryadfloor	tungstenworkstation	dryadlog:1
dryadgreathammer	tungstenanvil	dryadlog:4,woodenshaft:1,amber:1
dryadhat	tungstenanvil	clothpanel:1,string:1,amber:1
dryadhelmet	tungstenanvil	dryadplate:1,leather:1,amber:1
dryadmodulartable	tungstencarpenter	dryadplank:1,woodenshaft:1,nail:1
dryadpath	tungstenworkstation	dryadlog:2
dryadpickaxe	tungstenanvil	dryadplate:1,woodenshaft:1,amber:1
dryadscarf	tungstenanvil	amber:1,dryadlog:1
dryadshovel	tungstenanvil	dryadplate:1,woodenshaft:1,amber:1
dryadtoilet	tungstencarpenter	dryadlog:1
dryadwall	tungstenworkstation	dryadlog:5
dungeonmap	demonic	mapfragment:2
duskdoor	fallen	duskwall:5
eggcellentbanner	carpenter	clothpanel:1,woodenshaft:1,string:1,egg:1
eggnest	workstation	wheat:10
elderlywand	fallenanvil	dsanyshaft:1,magicfocus:1,shadowessence:1
emeraldmask	fallenanvil	emeraldplate:1,leather:1,emerald:1,pearlescentdiamond:1,omnicrystal:1
emeraldstaff	tungstenanvil	dsanyshaft:1,magicfocus:1,myceliumore:1,lifequartz:1,emerald:1
emeraldwand	tungstenanvil	dsanyshaft:1,magicfocus:1,emerald:1
empresscommand	fallenanvil	spideressence:1,spideritebar:1,spidervenom:1
essenceofrebirth	tungstenworkstation	essenceofperspective:1,essenceofprolonging:1,lifequartz:10
explorercloak	tungstenworkstation	travelercloak:1,piratetelescope:1
explorersatchel	demonic	leatherglove:1,trackerboot:1,shinebelt:1
factorydoor	fallen	junk:15
factorywall	fallen	junk:5
fallenaltar	tungstenworkstation	gatewaytablet:0,tungstenbar:10,glacialbar:10,myceliumbar:10,ancientfossilbar:10
fallenanvil	fallenanvil	anytier1essence:10,upgradeshard:10
fallencarpentersbench	fallencarpenter	dsanyplank:1,woodenshaft:1,nail:1,bone:1,upgradeshard:1
fallenworkstation	fallen	upgradeshard:15,alchemyshard:15
farmland	workstation	anylog:5
feedingtrough	workstation	anylog:20,ironbar:5
fins	demonic	sharkscales:8
firearrow	ironanvil	stonearrow:10,torch:1
firechalice	tungstencarpenter	stone:1,torch:1
fireflyjarblue	tungstencarpenter	emptyglassdisplay:1,fireflyblue:1
fireflyjargreen	carpenter	emptyglassdisplay:1,fireflygreen:1
fireflyjaryellow	carpenter	emptyglassdisplay:1,fireflyyellow:1
firestone	fallen	shadowessence:20
fireworkdispenser	tungstenworkstation	ironbar:5,wire:10
fishianbanner	tungstencarpenter	clothpanel:1,woodenshaft:1,string:1,glowcoral:1
flowerpot	carpenter	clay:1
forge	workstation	anystone:20
frenzyorb	tungstenworkstation	ectoplasm:15,voidshard:5
frostarrow	ironanvil	stonearrow:10,frostshard:1
frostaxe	ironanvil	glacialplate:1,woodenshaft:1,frostshard:1
frostbanner	carpenter	clothpanel:1,woodenshaft:1,string:1,snowball:1
frostboomerang	ironanvil	glacialshaft:1,frostshard:1
frostboots	ironanvil	glacialplate:1,leather:1,frostshard:1
frostbow	ironanvil	frostshard:1,glacialshaft:1,string:1
frostbullet	ironanvil	metalcasing:1,groundfiremone:1,simplebullet:1,frostshard:1
frostchestplate	ironanvil	glacialplate:1,leather:1,frostshard:1
frostflame	tungstenworkstation	firestone:1,froststone:1
frostglaive	ironanvil	glacialshaft:1,woodenshaft:1,frostshard:1
frostgreatsword	ironanvil	glacialblade:1,dsanyshaft:1,frostshard:1
frosthat	ironanvil	clothpanel:1,string:1,frostshard:1
frosthelmet	ironanvil	glacialplate:1,leather:1,frostshard:1
frosthood	ironanvil	clothpanel:1,string:1,frostshard:1
frostpickaxe	ironanvil	glacialplate:1,woodenshaft:1,frostshard:1
frostshovel	ironanvil	glacialplate:1,woodenshaft:1,frostshard:1
frostspear	ironanvil	glacialshaft:1,woodenshaft:1,frostshard:1
froststaff	ironanvil	dsanyshaft:1,magicfocus:1,frostshard:1,batwing:1
froststone	fallen	cryoessence:20
frostsword	ironanvil	glacialblade:1,dsanyshaft:1,frostshard:1
frozensoul	tungstenworkstation	lifeline:1,frozenheart:1
galvanichammer	tungstenanvil	tungstenbar:4,woodenshaft:1,lightninghammer:1,runestone:1
gelatincasings	fallen	slimematter:20,slimeum:12
gemstonelongsword	fallenanvil	dsanymetalblade:1,dsanyshaft:1,amethyst:1,pearlescentdiamond:1,omnicrystal:1,crystalessence:1
ghostboots	tungstenworkstation	windboots:1,ectoplasm:20
glacialaxe	tungstenanvil	glacialplate:1,woodenshaft:1
glacialboomerang	tungstenanvil	glacialshaft:1,glacialshard:1
glacialboots	tungstenanvil	glacialplate:1,leather:1,glacialshard:1
glacialbow	tungstenanvil	glacialshaft:1,string:1,glacialshard:1
glacialchestplate	tungstenanvil	glacialplate:1,leather:1,glacialshard:1
glacialcirclet	tungstenanvil	glacialplate:1,leather:1,glacialshard:1
glacialgreatsword	tungstenanvil	glacialblade:1,dsanyshaft:1,glacialshard:1
glacialhelmet	tungstenanvil	glacialplate:1,leather:1,glacialshard:1
glacialpickaxe	tungstenanvil	glacialplate:1,woodenshaft:1
glacialshovel	tungstenanvil	glacialplate:1,woodenshaft:1
goldaxe	ironanvil	goldplate:1,woodenshaft:1
goldboots	ironanvil	goldplate:1,leather:1
goldbow	ironanvil	goldshaft:1,string:1
goldchestplate	ironanvil	goldplate:1,leather:1
goldcrown	ironanvil	goldplate:1,leather:1
golddoublestreetlamp	carpenter	goldshaft:1,glass:1,string:1
goldglaive	ironanvil	goldshaft:1,woodenshaft:1
goldgreatbow	ironanvil	goldshaft:1,string:1
goldgridcarpet	tungstencarpenter	wool:1,goldore:1
goldhelmet	ironanvil	goldplate:1,leather:1
goldlamp	carpenter	goldshaft:1,glass:1,string:1
goldpickaxe	ironanvil	goldplate:1,woodenshaft:1
goldshovel	ironanvil	goldplate:1,woodenshaft:1
goldspear	ironanvil	goldshaft:1,woodenshaft:1
goldstreetlamp	carpenter	goldshaft:1,glass:1,string:1
goldsword	ironanvil	goldblade:1,dsanyshaft:1
grainmill	workstation	anylog:20,wool:10,ironbar:10
granitebrickfloor	workstation	granite:1
granitecolumn	carpenter	granite:1
granitedoor	workstation	granite:15
granitefloor	workstation	granite:1
granitepathtile	workstation	granite:2
granitewall	workstation	granite:5
graveltile	workstation	anystone:1
greaterlifeelixir	fallen	lifeelixir:1,alchemyshard:100
greencarpet	carpenter	wool:1,cabbage:1
gunslingerboots	demonicanvil	dsanymetalplate:1,leather:1,quartz:1
gunslingerhat	demonicanvil	clothpanel:1,string:1,quartz:1
gunslingervest	demonicanvil	clothpanel:1,string:1,quartz:1
hardenedshield	ironanvil	ironplate:1,leather:1,woodshield:1
hardenedshield	workstation	woodshield:1,ironbar:10,leather:10
heartcarpet	carpenter	wool:1,healthpotion:1
hexedbladegreatsword	tungstenanvil	goldblade:1,dsanyshaft:1,necroticgreatsword:1,voidshard:1,quartz:1
hivescepter	ironanvil	honey:1,queenbee:1,goldbar:1
hysteriatablet	tungstenworkstation	mesmertablet:1,inducingamulet:1
icecrown	tungstenworkstation	glacialbar:4,glacialshard:8,bone:8
icedoor	demonic	snowstone:10,frostshard:1
icepickaxe	fallenanvil	dsanymetalplate:1,woodenshaft:1,cryoessence:1
icewall	demonic	snowstone:3,frostshard:1
iciclestaff	tungstenanvil	dsanyshaft:1,magicfocus:1,glacialshard:1
ignitionkey	fallenanvil	fuelskull:1,pristinegear:1,radiatedessence:1
incinerator	workstation	ironbar:10,clay:10
ironanvil	workstation	ironbar:5
ironarrow	ironanvil	woodenshaft:1,ironplate:1,feather:1
ironaxe	ironanvil	ironplate:1,woodenshaft:1
ironboots	ironanvil	ironplate:1,leather:1
ironbow	ironanvil	ironshaft:1,string:1
ironchestplate	ironanvil	ironplate:1,leather:1
irondoublestreetlamp	carpenter	ironshaft:1,glass:1,string:1
ironfence	workstation	ironbar:1
ironfencegate	workstation	ironbar:4
irongreatsword	ironanvil	ironblade:1,dsanyshaft:1
ironhelmet	ironanvil	ironplate:1,leather:1
ironlamp	carpenter	ironshaft:1,glass:1,string:1
ironpickaxe	ironanvil	ironplate:1,woodenshaft:1
ironshovel	ironanvil	ironplate:1,woodenshaft:1
ironspear	ironanvil	ironshaft:1,woodenshaft:1
ironstreetlamp	carpenter	ironshaft:1,glass:1,string:1
ironsword	ironanvil	ironblade:1,dsanyshaft:1
ivyaxe	demonicanvil	ivyplate:1,woodenshaft:1
ivyboots	demonicanvil	ivyplate:1,leather:1,swampsludge:1
ivybow	demonicanvil	ivyshaft:1,string:1
ivychestplate	demonicanvil	ivyplate:1,leather:1,swampsludge:1
ivycirclet	demonicanvil	ivyplate:1,leather:1,swampsludge:1
ivygreatbow	demonicanvil	ivyshaft:1,string:1,swampsludge:1
ivygreatsword	demonicanvil	ivyblade:1,dsanyshaft:1
ivyhat	demonicanvil	clothpanel:1,string:1,swampsludge:1
ivyhelmet	demonicanvil	ivyplate:1,leather:1,swampsludge:1
ivyhood	demonicanvil	clothpanel:1,string:1,swampsludge:1
ivypickaxe	demonicanvil	ivyplate:1,woodenshaft:1
ivyshovel	demonicanvil	ivyplate:1,woodenshaft:1
ivyspear	demonicanvil	ivyshaft:1,woodenshaft:1
ivysword	demonicanvil	ivyblade:1,dsanyshaft:1
jailfence	demonic	ironbar:1
jailfencegate	demonic	ironbar:4
ladderdown	workstation	anylog:10
landfill	workstation	anystone:2
landscapingstation	demonic	anystone:20,anylog:15,firemone:4
lantern	carpenter	tungstenshaft:1,glass:1,string:1
largedryadbanner	tungstencarpenter	clothpanel:1,woodenshaft:1,string:1,dryadsapling:1
largeeggcellentbanner	carpenter	clothpanel:1,woodenshaft:1,string:1,egg:1
largefishianbanner	tungstencarpenter	clothpanel:1,woodenshaft:1,string:1,glowcoral:1,seashell:1
largefrostbanner	carpenter	clothpanel:1,woodenshaft:1,string:1,snowball:1
largekeg	tungstencarpenter	dsanyplank:1,ironshaft:2,nail:1
largepiratebanner	carpenter	clothpanel:1,woodenshaft:1,string:1,goldore:1
largevampiricbanner	fallencarpenter	clothpanel:1,woodenshaft:1,string:1,batwing:1,phantomdust:1
leatherboots	ironanvil	leather:1,string:1
